Tweet,Target,Stance,stance_pred,target_pred
I admire how real and unapologetic Donald Trump is on his Political standpoints #SemST,Donald Trump,FAVOR,FAVOR,Donald Trump
"I would vote for @realDonaldTrump if he had a hilariously oversized head, I'm talking 2x size of his body #SemST",Donald Trump,AGAINST,NONE,Donald Trump
Hillary: stop pretending you were supporting the LGBT people when you opposed them until 2013. You are a lying conniving human #SemST,Hillary Clinton,AGAINST,AGAINST,Hillary Clinton
@businessinsider @billpostmus most libtard states are f'd up here #mepolitics #tcot #SemST,Donald Trump,NONE,NONE,Hillary Clinton
States Have Already Decided How They Felt About This Based Off The Wills Of Their People! Give Them Their Rights Back! #SemST,Donald Trump,NONE,NONE,Hillary Clinton
"@TarekFatah @anniekarni And Abedin's penumbra, the Muslim Brotherhood. Her connection is incontrovertible #HumaAbedin #SemST",Hillary Clinton,AGAINST,AGAINST,Hillary Clinton
@realDonaldTrump ' It takes great bravery to stand up to your enemies but even more to stand up to your friends' we need you #SemST,Donald Trump,FAVOR,FAVOR,Donald Trump
"RT @harrisongolden: ""So Clinton-esque,"" Brit Hume said of Hillary's email controversy. ""You never quite get the whole truth.""> #SemST",Hillary Clinton,AGAINST,AGAINST,Hillary Clinton
Insurgent. What will happen if Hillary becomes dictator in chief. #SemST,Hillary Clinton,AGAINST,AGAINST,Hillary Clinton
"@Reince @SharonDay @realDonaldTrump @tedcruz @JebBush Wshgton Cartel, incompetent GOP leaders support losers like Romney, McCain! #SemST",Donald Trump,AGAINST,NONE,Donald Trump
Amazing turnout @TheCenterLV . Emotional crowd. RT if agree love wins. #FellowsNV  #SemST,Hillary Clinton,NONE,FAVOR,Hillary Clinton
Freedom of speech? Yeah right. You are only allowed to say what you want if it lines up with the liberal agenda. Wake up people #SemST,Donald Trump,AGAINST,AGAINST,Hillary Clinton
RT @reel_fisherman6: I think Donald would bring this country back to where we used to be #SemST,Donald Trump,FAVOR,FAVOR,Donald Trump
"@NaughtyBeyotch @TheRealMadman23  Don't care for #Fiorina, but it seems she taking the #sexist gut punches by the #media. #MSM",Hillary Clinton,NONE,NONE,Hillary Clinton
@realDonaldTrump you're the man for the job #MakeAmericaGreatAgain #SemST,Donald Trump,FAVOR,FAVOR,Donald Trump
You know Donald Trump is in deep when most Neo-Conservatives call him out on his bullsh*t speech. #SemST,Donald Trump,AGAINST,AGAINST,Donald Trump
@HillaryClinton I notice that you didn't condemn the lawless actions of the rioters. #SemST,Hillary Clinton,AGAINST,AGAINST,Hillary Clinton
@LaneLewis Thanks for the follow! #TheHRCSuperVols for #SemST,Hillary Clinton,NONE,FAVOR,Hillary Clinton
The number of crimes committed by illegal aliens in the United States each year should be ZERO! #SemST,Donald Trump,NONE,FAVOR,Donald Trump
I'm really excited for 2016 after finding out the amount @HillaryClinton raised. We got this. #SemST,Hillary Clinton,AGAINST,FAVOR,Hillary Clinton
Donald Trump is the man lets get this man in the White House!!! #SemST,Donald Trump,FAVOR,FAVOR,Donald Trump
Republicans. The party that rewards racial hatred and bigotry with a front-runner status for the Presidential nomination. #SemST,Donald Trump,AGAINST,AGAINST,Donald Trump
"@realDonaldTrump U gonna take this? I hope not! Bullshit from #Univision #NBCUniversal and #Macys. ""Magic of Macy's"" my ass #SemST",Donald Trump,AGAINST,FAVOR,Donald Trump
"over the river and through the woods, and UP WITH HILL WE GO! Yass #HillaryClinton  #Hillary   #SemST",Hillary Clinton,AGAINST,FAVOR,Hillary Clinton
"LOOKS LIKE LIBREALS OUR AFTER @Paula_Deen AGAIN,,  THANK GOD FOR @realDonaldTrump #SemST",Donald Trump,FAVOR,FAVOR,Donald Trump
@alison_rambles @RickCanton @ResistTyranny @RotNScoundrel @LeahR77 @LeahRBoss @RedStateJake  Because I have Grand Children!  #SemST,Hillary Clinton,NONE,NONE,Hillary Clinton
@dedicated_to_it i think the main problem is having your foot in your mouth in the first place. #SemST,Hillary Clinton,NONE,NONE,Hillary Clinton
@AutumnNAlston @JonathanDKF @_sarah_babb_ @McCollumMike @HillaryClinton @HillaryforSC Inaugural tweet from our new account! Go #SemST,Hillary Clinton,AGAINST,NONE,Hillary Clinton
".@Ashlandgirl101 @Braveheart_USA Don't just say ""no"" to Killary - work tirelessly to put her in prison - where she belongs. #SemST",Donald Trump,NONE,AGAINST,Hillary Clinton
@Slate This is why Rand Paul will never be POTUS. #BaltimoreUprising #SemST,Hillary Clinton,NONE,NONE,Hillary Clinton
"@ReformedBroker ""to da honies gittin money playing #bleep words like dummies"" #POPPA #SemST",Hillary Clinton,NONE,NONE,Hillary Clinton
"Considering the fact that Bush was a president of this country, I don't see it a joke that Trump is running ! #Election2016 #SemST",Donald Trump,FAVOR,FAVOR,Donald Trump
"@tjhansen @owillis serious, if trump runs you'll get a trump tattoo? Calling the Donald!! #SemST",Hillary Clinton,NONE,NONE,Donald Trump
Oreo frappie from Mcdonalds is the morning beverage of Champions.#wakeandbake #McDonalds #SemST,Donald Trump,AGAINST,NONE,Hillary Clinton
Remember that story about a charismatic businessman who will lie to get into power from an obscure position? #Revelation #SemST,Donald Trump,AGAINST,AGAINST,Donald Trump
Federal gov't social spending 61% of budget. Federal gov't defense spending 22% of budget. Something is definitely wrong here. #SemST,Hillary Clinton,NONE,NONE,Hillary Clinton
@GREG61032 @CarmineZozzora @Ash_Bell__  perfect definition of JIBBERISH  #UniteBlue #SemST,Hillary Clinton,NONE,NONE,Hillary Clinton
"Following his recent comments about immigrants, do you think Donald Trump's business interests will suffer? #Trump #SemST",Donald Trump,AGAINST,NONE,Donald Trump
"Do we breathe & live or ignore & collectively succumb to toxins of political, ecological, unwanton oligards? #p2 #bernie2016 #SemST",Hillary Clinton,AGAINST,NONE,Hillary Clinton
"I love it when #conservatives say #government is #tyranny and out to get us, then in D next sentence say #SupportOurTroops : #SemST",Donald Trump,NONE,NONE,Hillary Clinton
Rhodham Hood: It takes a village to  community organize wealth redistribution Obama-style.   #SemST,Hillary Clinton,NONE,AGAINST,Hillary Clinton
@businessinsider One thing that's painful is the mindless minutiae her strap hanging cling-ons force her to endure. #huma #SemST,Hillary Clinton,AGAINST,AGAINST,Hillary Clinton
Do we call Bill Mr President...the first 1st man of Or mr president the 1st man? Lol #imreadyforhillary #SemST,Hillary Clinton,FAVOR,FAVOR,Hillary Clinton
@LindaSuhler and the sheeple will still vote for her #SemST,Hillary Clinton,AGAINST,AGAINST,Hillary Clinton
@dougshelton749   Let's hope her campaign unravels before Dec.  We can't have this liar as next President.  #SemST,Hillary Clinton,AGAINST,AGAINST,Hillary Clinton
Hillary: -Assad is a reformer -Putin is re-settable -Libya Jihadist are allies -Iran not building Nukes -Strom is right #tcot #SemST,Donald Trump,NONE,AGAINST,Hillary Clinton
@RIGHTZONE @WethePeoplePets Let's hope the VOTERS remember! #HillNo,Hillary Clinton,AGAINST,AGAINST,Hillary Clinton
I write separately to call attention to this Court's threat to American democracy - #ObergefellvHodges #AmericaIsScrewed #SemST,Donald Trump,NONE,NONE,Hillary Clinton
@sbrenn01 @marklevinshow What diversity? Conservatives are racist. I am one. I love Trump. #SemST,Donald Trump,FAVOR,FAVOR,Donald Trump
@JOEROWE409 @ScotsFyre Hillaey Clinton can't help but lie...it's who she really is. #SemST,Hillary Clinton,AGAINST,AGAINST,Hillary Clinton
At least the few mistakes made by @GOP candidates on the campaign aren't felonies like the ones@HillaryClinton makes.#OhHillNo #SemST,Hillary Clinton,AGAINST,AGAINST,Hillary Clinton
Just watched @realDonaldTrump speech. How embarrassing for his family! Like that's a really bad dad moment  #SemST,Donald Trump,AGAINST,AGAINST,Donald Trump
@StateDept @AmbCathyRussell @AdamSmith_USA @HillaryClinton @HillaryforIA @BarackObama The whole #world is supporting you. #SemST,Hillary Clinton,FAVOR,FAVOR,Hillary Clinton
Anybody figure out yet that Money don't make you happy #GOD does....if our Politicians would just listen to our Lord! #SemST,Donald Trump,AGAINST,NONE,Hillary Clinton
@Ered604 welcome 2 Twitter~PROUD to be #UNITEBLUE~  #WarOnWomen  #worldpeace  #tngov #TN #socialjustice #AllLivesMatter #unity #SemST,Hillary Clinton,NONE,NONE,Hillary Clinton
"@DrMartyFox @BossHoggUSMC @JohnFromCranber @seanhannity @SheriffClarke Fine, they can leave USA & never come back. #OiP #Cruz2016 #SemST",Hillary Clinton,AGAINST,NONE,Hillary Clinton
Spending my fourth at taqueria with some homies. #murica  #SemST,Donald Trump,AGAINST,NONE,Hillary Clinton
@Molls30 @HillaryClinton I love it! One of our biggest donors is Saudi Arabia. They support women's rights completely! #GoTeam #SemST,Hillary Clinton,AGAINST,AGAINST,Hillary Clinton
"RNC Chairman pleads with Trump to tone it down. I say, Ramp-it-up #SemST",Donald Trump,FAVOR,FAVOR,Donald Trump
"The Left fear Donald Trump, BIG TIME! @realDonaldTrump  #SemST",Donald Trump,FAVOR,FAVOR,Donald Trump
You have to wonder if Hillary will attempt to replace #ObamaCare with #HillaryCare. #tcot @realDonaldTrump #SemST,Donald Trump,AGAINST,NONE,Hillary Clinton
"Can't #UniteBlue, RT LindaSuhler: Hillary:People Trust Me, Blames 'Constant Barrage of Attacks' By the Right #delusional #WakeUpA... #SemST",Hillary Clinton,AGAINST,AGAINST,Hillary Clinton
@HillaryforNV Many thanks for the follow! #SemST,Hillary Clinton,FAVOR,FAVOR,Hillary Clinton
Republican candidates continuing to spread hatred and alienating the voters. Hillary wins!  #LoveWins #MikeHuckabee #Rubio2016 #SemST,Hillary Clinton,FAVOR,FAVOR,Hillary Clinton
@CiaraAntaya cuz you know I'm such a feminist,Hillary Clinton,NONE,NONE,Hillary Clinton
@Dahat8 @Stonewall_77 The HATE within America is stronger NOW than I remember since 1969? Can't go backwards to such division #SemST,Donald Trump,AGAINST,NONE,Hillary Clinton
@RNRLouisiana @willie_mays24 @RNROklahoma  THIS kind of open defiance is what is needed but on a massive scale #tcot #LNYHBT #SemST,Donald Trump,NONE,NONE,Hillary Clinton
7 years ago this month #POTUS released his groundbreaking First Americans tribal policy platform. You're up #Election2016 #SemST,Hillary Clinton,NONE,NONE,Donald Trump
Jeb Bush Why Don't U Stand Up For Yr Mexican Family & Denounce Trump. Have You No Pride or Balls?  #DumpTrump #BoycottTrump #SemST,Donald Trump,AGAINST,AGAINST,Donald Trump
"@maddow I love Bern, but it's not his time! #SemST",Hillary Clinton,AGAINST,NONE,Hillary Clinton
#Hillary is as transparent as a brick wall #LibertyNotHillary,Hillary Clinton,AGAINST,AGAINST,Hillary Clinton
Federal funds are cutoff if states dont bend to blood alcohol laws.Why should #sanctuarycities be different? #WhiteGenocide #tcot #SemST,Donald Trump,NONE,NONE,Donald Trump
@WNTonight i love bernie because he ain't #SemST,Hillary Clinton,NONE,NONE,Hillary Clinton
#FELLOW TEXANS WHO SHOP FIRE @MACY'S AND SHOP #DILLARD'S! #SemST,Donald Trump,AGAINST,NONE,Hillary Clinton
Not an American but I'll def be following the circus of the 2016 presidential running unfold. #Christie2016   #SemST,Donald Trump,AGAINST,NONE,Hillary Clinton
@Jewtantandproud @TookyMonster the new and cool meme is to post a video of you eating a banana. I will if you will! #bananavideo #SemST,Donald Trump,NONE,NONE,Hillary Clinton
I love the smell of Hillary in the morning. It smells like Republican Victory. #TedCruz2016 #MarcoRubio #SemST,Hillary Clinton,AGAINST,AGAINST,Hillary Clinton
Obama give Americans OVERTIME Pay! Republicans give Americans Welfare Checks! #tcot #UniteBlue #SemST,Hillary Clinton,AGAINST,NONE,Hillary Clinton
I hope every Billionaire learned their lesson bout talking sh%t about Mexicans!  Do it in your golf clubs NOT on TV! #SemST,Donald Trump,AGAINST,AGAINST,Donald Trump
This Fight Isn't OVER! #Obamacare Is Obviously Broken & It Increases Health Care Costs For Millions Of Americans. #SCOTUScare #SemST,Donald Trump,NONE,NONE,Hillary Clinton
"@veriphile; Just Curious, Do You Follow @Montel_Williams? #SemST",Donald Trump,NONE,NONE,Hillary Clinton
Can #nikkireed & #iansomerhalder stop fucking in public for 1 day. doing nothing for his image #attentionwhore he's worse than #SemST,Donald Trump,NONE,NONE,Hillary Clinton
@docdebags @awelab1956 @BuzzFeedAndrew @BuzzFeedNews  It will. Otherwise we're guaranteed GOP in control of all 3 branches. #SemST,Hillary Clinton,AGAINST,FAVOR,Hillary Clinton
"@LeahR77 @DrMartyFox > With continued #Obama's & @TheDemocrats Admin policymaking, #USA will become #Greece! #WakeUpAmerica #NJ #SemST",Hillary Clinton,AGAINST,NONE,Hillary Clinton
"I'd love for some reporter to ask, ""Sec Clinton, will u b returning the White House china, if elected? Or did u already hock it? #SemST",Hillary Clinton,AGAINST,AGAINST,Hillary Clinton
"@mmfa water seeks its own level. In the case of @realDonaldTrump and @oreillyfactor, it's sewer water. #FoxNews #Trump #SemST",Donald Trump,AGAINST,AGAINST,Donald Trump
Our Queen City is currently infested w/ out-of-state plate Priuses driven by millennials w/ Hillary bumper stickers. #MHT #SemST,Hillary Clinton,AGAINST,AGAINST,Hillary Clinton
Maybe #KathrynSteinle should have been wearing a rainbow T-Shirt.... The public would be more outraged. #SemST,Donald Trump,NONE,NONE,Hillary Clinton
@anthonyweiner super out of touch and stupid.   Please go away. #NYCPride #NYC #SemST,Hillary Clinton,AGAINST,NONE,Hillary Clinton
Only good thing about Trump's presidential run is that by the end of it he will be a billion or 2 short #SemST,Donald Trump,AGAINST,AGAINST,Donald Trump
@NatureGuy101 @MaryMorientes   Support encourage #HillaryClinton president #UnitedStates world is success of women in  world #SemST,Hillary Clinton,FAVOR,FAVOR,Hillary Clinton
"Liberal's, why ARE you so intolerant?!? Why were your parents so intolerant? And their parents? #UniteBlue #SemST",Hillary Clinton,NONE,NONE,Hillary Clinton
Trump wasn't precise but he's no bigot. employs thousands. contributed millions to charity. And loves America.not corrupt.capable #SemST,Donald Trump,FAVOR,FAVOR,Donald Trump
"@realDonaldTrump the thing I like about Mr Trump is that if he shoots himself in the foot, he can buy another.  #SemST",Donald Trump,AGAINST,FAVOR,Donald Trump
@46drhouse - Be interesting to see how Hillary defends same when questioned.  She will eventually have to answer questions. #SemST,Hillary Clinton,AGAINST,AGAINST,Hillary Clinton
@realDonaldTrump u talk a big bigoted talk & yet use illegals @ your new DC prop.Thank GD u being POTUS isn't viable! #trumpsucks #SemST,Donald Trump,AGAINST,AGAINST,Donald Trump
@washingtonpost sir sory mae bi bharat mool ka hu par my hart is for democraet and #SemST,Hillary Clinton,NONE,FAVOR,Hillary Clinton
Hillary upset GOP candidates didn't respond to Trump's illegal imm comments immediately-yet we're still waiting for her emails. #SemST,Hillary Clinton,AGAINST,AGAINST,Hillary Clinton
@USATODAY @HillaryClinton how about finding her a #pathtoJAIL #DONOTPASSGO do collect any Any more of #WeThePeople s #SemST,Hillary Clinton,AGAINST,AGAINST,Hillary Clinton
@realDonaldTrump needs to learn when to stop talking. You are making it worse Donald... so much worse. #SemST,Donald Trump,AGAINST,AGAINST,Donald Trump
#EpicLiberalFail Hilary lied about Banghazi and is caught on audio biahahaha #p2 #uniteblue #libcrib #libtards #SemST,Hillary Clinton,AGAINST,AGAINST,Hillary Clinton
Will the media ever get real with Hillary? #2016 #Benghazi #Clinton #SemST,Hillary Clinton,AGAINST,AGAINST,Hillary Clinton
@realDonaldTrump Favorites and retweets keep piling up for Trump! He's killing the other candidates! #SemST,Donald Trump,FAVOR,FAVOR,Donald Trump
"@gerfingerpoken2 he made a careless mistake, she deliberately broke many laws & still lies about it. #SemST",Hillary Clinton,AGAINST,AGAINST,Hillary Clinton
People should and do trust me.  -woman who also denied getting a subpoena Trey Gowdy served her before she deleted emails #SemST,Hillary Clinton,AGAINST,AGAINST,Hillary Clinton
"RedScareBot: ""Filthy Lucre"" RT valera927 The one promise #socialism can keep is keeping us all equally impoverished. #SemST",Donald Trump,AGAINST,NONE,Hillary Clinton
Today LOVE won and Hate was defeated. #MorningJoe #UnitedBlue #SemST,Hillary Clinton,NONE,FAVOR,Hillary Clinton
It's a beautiful day for phone banking at the Hill House on 1529 Richland Street! Join us tonight at 6PM! @HillaryforSC #SemST,Hillary Clinton,FAVOR,FAVOR,Hillary Clinton
"If you live in a Trump building, congratulations on that decision #SemST",Donald Trump,FAVOR,FAVOR,Donald Trump
.@thedailybeast such a waste of space #CrackingCeilings #SemST,Hillary Clinton,NONE,AGAINST,Hillary Clinton
@HillaryClinton had a Legal obligation to prevent the destruction (preserve) Gov't & related documents (email). She didn't. #SemST,Hillary Clinton,AGAINST,AGAINST,Hillary Clinton
"#WonderWoman movie, #TheMuppets TV show, #StarWarsVII, #MarriageEquaility #Obama. I guess I can leave social media now. Oh wait #SemST",Hillary Clinton,NONE,NONE,Hillary Clinton
GRATE TWO SEE @realDonaldTrump GET TUFF ON BOARDER CONTROL!  HAS MY VOTE IN 2016!  #TCOT #ILLEGALSSTOLEJOBS #SemST,Donald Trump,FAVOR,FAVOR,Donald Trump
"#Putin, #NothingMoreAmericanThan voting for a politician to lead the country when she can't even handle email. #think #SemST",Hillary Clinton,AGAINST,AGAINST,Hillary Clinton
"You can get Mooch's lunch, lib indoc, condoms, BC & abortions at schools today; wow, everything but an education. #PJNET #SemST",Donald Trump,NONE,AGAINST,Hillary Clinton
@gpacja @TexanJustin @JebBush @Isikoff @realDonaldTrump you're an awful person. Free speech. I'll pray for you're soul. #SemST,Donald Trump,AGAINST,AGAINST,Donald Trump
@PortiaABoulger Thank you for adding me to your list,Hillary Clinton,NONE,NONE,Hillary Clinton
OMG! .@KirstenPowers Practically states Whites are more racist than Blacks because Whites are oppressing Blacks. WHERE? WTF? #SemST,Donald Trump,AGAINST,NONE,Hillary Clinton
WHO'S READY FOR A DAY OF ACTION?! I know I am! #FellowsSC #SemST,Hillary Clinton,NONE,NONE,Hillary Clinton
Wondering if my Hilary 2016 sticker will affect my popularity at the shooting range... #firstdate #SemST,Hillary Clinton,FAVOR,NONE,Hillary Clinton
Congrats to the @GOP for having @realDonaldTrump in first place amongst its 2016 candidates. #GOP2016 #Jeb2016 #walker2016 #SemST,Donald Trump,FAVOR,FAVOR,Donald Trump
"WE Love Mexicans,WE Respect your Work Ethic,Your Love of Family,Your Loyalty,Your FOOD &Your Love Of God! Lets ALL Get JOBS,VOTE #SemST",Donald Trump,AGAINST,NONE,Hillary Clinton
@WayneDupreeShow  I'm just jealous that us NORMAL hetero people don't have a flag or pride week or a parade #SemST,Donald Trump,NONE,NONE,Hillary Clinton
@thehill @greta @realDonaldTrump Now You Know The Left Is Afraid Of A Executive Over Politicians < Hang In There Donald #SemST,Donald Trump,FAVOR,FAVOR,Donald Trump
"@Camilian1Sabel Amen to that, everybody has to pay their way, no welfare either.  #freeallfour #SemST",Hillary Clinton,NONE,NONE,Hillary Clinton
@JSavoly @tedcruz Here ya go teddy boy..the world is getting HOTTER!! It's called GLOBAL WARMING!!  You're such a PUTZ!! #SemST,Hillary Clinton,NONE,NONE,Hillary Clinton
Macy's to stop selling Trump merch. I guess he'll sue them next. #SemST,Donald Trump,AGAINST,AGAINST,Donald Trump
@HillaryClinton Hillary pandering with her logo. #ClintonFoundationscandal #ClintonCash,Hillary Clinton,AGAINST,AGAINST,Hillary Clinton
"True Christians follow Mathew, Mark, Luke and John. GOP-Tea Party anti-Christians follow Hannity Limbaugh, O'Reilly and Palin #SemST",Hillary Clinton,NONE,NONE,Hillary Clinton
LOOKING FORWARD TO #CUBA EXPANDING MAJOR EXPORTS OF PICK UP TRUCKS CONVERTED INTO RAFTS!! SO EXCITING! #tcot #SemST,Hillary Clinton,AGAINST,NONE,Hillary Clinton
"@LeighStorz @jstines3 Totally agree, Hillary is an incompetent scandal ridden phony. #SemST",Hillary Clinton,AGAINST,AGAINST,Hillary Clinton
@kasie I do! And I had an invitation to their beta test before they even officially launched. #HillaryLies #SemST,Hillary Clinton,AGAINST,AGAINST,Hillary Clinton
@nytimes Does he go to the Dog groomer ? #SemST,Donald Trump,NONE,AGAINST,Donald Trump
@jackieaus @gerfingerpoken2 O hired by puppetmasters who put him in our WH w/coup to destroy America. #SemST,Donald Trump,AGAINST,AGAINST,Hillary Clinton
EVERYDAY AMERICANS AND THEIR FAMILIES NEED A CHAMPION AND HILLARY WILL BE THAT CHAMPION.   #SemST,Hillary Clinton,FAVOR,FAVOR,Hillary Clinton
We have become a nation where decisions are based on feelings and not on facts.  #tcot #ycot #SemST,Donald Trump,NONE,NONE,Hillary Clinton
Getting another @HillaryClinton bumper sticker because #LoveWins and 2 just wasn't enough #SemST,Hillary Clinton,FAVOR,FAVOR,Hillary Clinton
"@billodoux Thanks for the follow, that his by far the cutest avatar I have seen, God bless you all ! #freealfour #SemST",Hillary Clinton,NONE,NONE,Hillary Clinton
Are we so desperate in this country to seriously consider a 60+ woman as president? #SemST,Hillary Clinton,AGAINST,AGAINST,Hillary Clinton
I'm proud to announce I support #HillaryClinton!!!! #SemST,Hillary Clinton,FAVOR,FAVOR,Hillary Clinton
"July 4th occurs on Ramadan. Since 911, this is most concern I've seen FBI, Homeland Security and the Police'- Rep Peter King #SemST",Donald Trump,NONE,NONE,Hillary Clinton
Dear @realDonaldTrump: You are an idiot. #america #politics #sticktoyourhair #SemST,Donald Trump,AGAINST,AGAINST,Donald Trump
Why is Hillary lying AGAIN about something news worthy? What's news worthy is if she doesn't lie about something #SemST,Hillary Clinton,AGAINST,AGAINST,Hillary Clinton
"IRS + Hillary Both ""Lost"" Government Emails: This Situation is as Clear as Day - The #Obama Admin is Destroying Evidence! #SemST",Donald Trump,NONE,AGAINST,Hillary Clinton
@realDonaldTrump I don't care what @NASCAR says! I dont care what the liberals at @espn say.. Keep Speaking The TRUTH!! #SemST,Donald Trump,FAVOR,FAVOR,Donald Trump
@thehill it's called an ad hominem attack & it's used by people who know they can't win on the merits we r onto u congressman #SemST,Donald Trump,NONE,NONE,Hillary Clinton
@HillaryClinton @TheDemocrats How many Xanax does this wretched bitch need to sleep at night? #SemST,Hillary Clinton,AGAINST,AGAINST,Hillary Clinton
During ClintonNo.1 prez stint all we heard was 'right wing conspiracy' -it's starting again #SemST,Hillary Clinton,AGAINST,AGAINST,Hillary Clinton
